first_name,last_name,date_of_birth,zipcode,social_security_number,bank_account_number
Shanta,Mann,2020-08-02,08047,504-83-7380,702156093462
Analisa,Klocko,02/08/20,14002,495 58 7320,374340281921
Earnest,Morissette,02/08/2020,26581,856.15.1865,062630234447
Krystin,Wuckert,6/2/88,83869,096745095,557125194559
Kirby,Witting,2/08/2020,74721,061-27-7603,358767294585
Julene,Fadel,2/08/20,84177-8019,732-82-5115,338325498097
Albert,Batz,2-Aug-2020,08202,260-32-6322,838515329265
Basil,Bogisich,"Aug 2, 2001",12866-4503,757-17-2203,795587628733
Milford,Kessler,"Jan 29, 1958",50928,869-64-1531,520502518027
Sharda,Renner,2020/08/02,09084-2217,190-04-7374,876969530598
Hye,Nitzsche,02-Aug-2020,91993,765-28-9030,847551846695
Margery,Gorczany,20-08-02,19892-2662,364-54-7939,209858800904
Marica,Hintz,02.08.20,73741,539-30-5080,563905165658
Matilda,Abernathy,02.08.2020,19765,695-66-8249,549387524337
Tanner,Christiansen,11/21/60,15348-1972,349-18-4242,650072778110
Saul,Yundt,"Sunday, 2 August, 2020",83806-6385,130-04-1642,475539831777
Fredrick,Jones,"Sunday, 2 August 2020",60883-5431,621-25-1688,224344648207
Aaron,Gorczany,Sunday 02 August 2020,84376-2874,195-60-4557,525363624111
Rebecca,Von,"Sunday, August 2, 2020",27212,597-48-4719,621811317458
Coy,Leffler,"08 2, 20",31713-9952,074-41-9963,467305832780
Warren,Blanda,02 Aug 2020,00618,774-70-6041,657281660174
Rigoberto,Wuckert,"2 August, 2020",94281-5925,589-06-8471,808505231250
Erwin,Beatty,"02 August 2020",82905,054-69-0219,657714543550
Cristopher,Bailey,"August 2, 2020",56779-7731,556-21-5631,131046364576
Warren,Ledner,"2 Aug, 2020",31859,530-25-9025,642696001815
Diego,Cummerata,"Aug 2, 2020",81228-5194,328-05-3800,327157603863
Shona,Kshlerin,2. August 2020,33989,163-85-4191,276056288380
Clifford,Rice,"Thursday, August 21, 1975",80499-9895,756-76-3873,181006527108
Guy,Abshire,2 August 2020,99778-0551,490-32-2851,135323538571
